qtr,East North Central_Asian,East South Central_Asian,Middle Atlantic_Asian,Mountain_Asian,New England_Asian,Pacific_Asian,South Atlantic_Asian,West North Central_Asian,West South Central_Asian,US_Asian,East North Central_Black,East South Central_Black,Middle Atlantic_Black,Mountain_Black,New England_Black,Pacific_Black,South Atlantic_Black,West North Central_Black,West South Central_Black,US_Black,East North Central_Hispanic,East South Central_Hispanic,Middle Atlantic_Hispanic,Mountain_Hispanic,New England_Hispanic,Pacific_Hispanic,South Atlantic_Hispanic,West North Central_Hispanic,West South Central_Hispanic,US_Hispanic,East North Central_White,East South Central_White,Middle Atlantic_White,Mountain_White,New England_White,Pacific_White,South Atlantic_White,West North Central_White,West South Central_White,US_White
2014 Q4,0.046859351927954825,0.04201740638267281,0.04644881437682118,0.056360252547347084,0.055687238249682906,0.04549123384354765,0.033056548510848494,0.04795905823240999,0.036904854084310705,0.04693083725873275,0.14338558260266776,0.10146681450632469,0.11744589846127686,0.09967445720072955,0.09180071180539776,0.1239369105320864,0.10048818720947957,0.10640480463919419,0.1072052540912236,0.11051995539259807,0.07338070513855417,0.0639037064210525,0.07634856732922114,0.06309294578843723,0.10468636153959966,0.06693179380532488,0.06006527532941441,0.04988607809259246,0.054513498739635645,0.06719620813878632,0.04378565443779706,0.052530312280829265,0.04630241219837118,0.04044336461751078,0.04413190141532347,0.04906681512744872,0.04753470568951563,0.03069158752106544,0.03828442212943041,0.044578181459895436
2015 Q1,0.039025968787327635,0.06409981668072214,0.04816610405910162,0.038431509051916876,0.037054347304840425,0.04224754478281199,0.03493410250292905,0.04103330173183199,0.03063187684508259,0.043554544745523865,0.1213464986610177,0.09345740771650725,0.11449236744117613,0.09939612585331584,0.10812534001084749,0.10137121737595584,0.10049260828978629,0.09194076528901492,0.10212977197019686,0.10339907363359158,0.07601733212406549,0.059585755057896754,0.07674537550876324,0.06529429398166325,0.09371559618437579,0.06728777655898208,0.06313044437489675,0.03720107148923702,0.052404444690357016,0.06729426480423943,0.04313601390622028,0.05165156265488414,0.04429116003422114,0.038838320173360294,0.04108806894730526,0.04655103761885988,0.04464603342703635,0.031577181728925034,0.03964468126340335,0.04355150054055355
2015 Q2,0.039987757764019936,0.051925801592993155,0.04057057686062982,0.027316042782636347,0.027159644097683452,0.04186813312926366,0.036017433205772914,0.027105678975517657,0.03287145594006954,0.04065360527409004,0.10441160465433606,0.09222102099510576,0.10296827812561321,0.089770371999674,0.09381263296589051,0.09172145241765589,0.09933113648124194,0.09650132209627102,0.09055149517410299,0.09802266004710868,0.06600716517160113,0.056162792062591,0.07833026824750838,0.0679498226400733,0.09779562902836822,0.06736553270731142,0.06490812127499496,0.036118389498801105,0.052321635644795333,0.06723848315306144,0.04316437998679029,0.05012025984127641,0.043816307996998545,0.03811748869615838,0.03890423215982881,0.04466719454679611,0.04272656807631444,0.03152747530955413,0.04096062498983981,0.0432656255698585
2015 Q3,0.04442158607882207,0.04074448398931935,0.04159926568733779,0.04212176726069836,0.029445937356866438,0.03870546575421766,0.04510696818188843,0.02423861896992737,0.030550727788373706,0.0401439443278612,0.11698453045813585,0.09700685658379819,0.09239163851857395,0.06851132793124005,0.07177554284528742,0.09799693931611873,0.09169439427883994,0.09971435447549395,0.08735803858933633,0.0937734425586417,0.060924769470008966,0.0638765114916389,0.06609678436225512,0.06869919662173771,0.10875603145811012,0.06433380287277608,0.06018791158843536,0.03746073820916667,0.05243451908833523,0.06330955553391383,0.038647030238701745,0.04531848852396237,0.04305670904992253,0.037186042435255126,0.03655013794096636,0.04406245025140949,0.041640876741135535,0.03023577228806393,0.038724349817236305,0.04006190736690293
2015 Q4,0.03994239860764126,0.051255060084211046,0.04183615601186286,0.048508308873724225,0.03998818956075479,0.034692134913317234,0.04158827717233123,0.03419705079647453,0.02741872246748073,0.03921598777590516,0.11649516874881839,0.09677615652134654,0.08660983399471528,0.06957761913364542,0.08445359821173858,0.10463122058298385,0.09006206439150417,0.08340838659303697,0.08581960478076055,0.09346233792564045,0.06892881810134956,0.058826821371273534,0.06392885823475362,0.06938929531817738,0.09905045122060238,0.06455888148308886,0.054569692038678265,0.045671748443691804,0.05268003956058099,0.06377188963793237,0.03771805890660797,0.04462027880055665,0.04158995925379854,0.03627210424008881,0.033565902792219396,0.042506152930468354,0.040393458730723183,0.029312904069178292,0.03731689486775396,0.0391093934380218
2016 Q1,0.03693607681420472,0.0213694970174814,0.04132901437596114,0.0421045696510826,0.03409533675013823,0.03517265481781781,0.03350518118208278,0.028942909001659297,0.03946335666571357,0.03705667229415496,0.10653771774881611,0.08999607480304564,0.08336112585707907,0.07985203178184438,0.0839442831239982,0.09759186224779182,0.08902267923183836,0.0828413121152647,0.08160396936594551,0.08853207855354092,0.06552580307685808,0.05068433095011433,0.07010976339201203,0.06625474867662715,0.07474520148303722,0.06288294632468124,0.05070310679656366,0.05328251308991639,0.050460589296452994,0.059889275837284005,0.04028200097423287,0.046389035232765295,0.04086344650796825,0.03808982893286794,0.03395287454846556,0.04184094639632477,0.03961279054227282,0.028531996336580972,0.03678642485009343,0.0390045876638403
2016 Q2,0.03224937841924078,0.019658725896635133,0.0374569241647816,0.043356642571454974,0.028379137071972073,0.035127813548942476,0.03849056795085877,0.02515073479159889,0.04453304777734159,0.03699989274847263,0.10702517537689528,0.09484170267325721,0.08270802740795466,0.08755165360707234,0.062327637573543385,0.07799806820442194,0.08649323389052396,0.08916492440711377,0.08034961237933716,0.08747657957172394,0.05831229762262679,0.0584751388072623,0.07152469175043957,0.06216881317163977,0.07841512062019804,0.06234067456258926,0.04336925209356197,0.04446383947876233,0.04733358532549814,0.05776506332759849,0.04006668659171952,0.04281477019176271,0.04207509897664826,0.03792023851945198,0.03422382794121214,0.043367966858409386,0.0398350605116275,0.029377621407294528,0.039465077186594276,0.040169671892958954
2016 Q3,0.028800966573851228,0.05032536480872601,0.04507754783638709,0.0400271021436297,0.02632901575732276,0.03607262260233065,0.042466766190704906,0.04061836476770504,0.045870479548614854,0.03993750055744529,0.10829124259932231,0.09351278282477196,0.07976407063922254,0.09011206712669925,0.0647583310961225,0.07570744002703231,0.08238184692097685,0.09046123732670226,0.08276053067285792,0.08576302388010507,0.05416453144166397,0.04884225397182051,0.06678157640731358,0.0637264905176074,0.07548734958932456,0.0600673234412238,0.04541624985018822,0.05246853728077649,0.04668304054404532,0.057218047244377734,0.03941353637648057,0.04302557292515085,0.04313811987556693,0.035524976265223954,0.032995652512834026,0.04432756966339408,0.04005869683972091,0.028773396391541035,0.04004976297483642,0.039807631467474944
2016 Q4,0.023738356118459272,0.05521711377581288,0.043560846255555626,0.03816309759321313,0.02436067527861703,0.033557384390986184,0.03961579410031105,0.048442514995875006,0.04000820082024826,0.03718476890936741,0.10041310429029648,0.08530020149761923,0.07659066402496216,0.07598015214129254,0.08139700149036289,0.08083486886090359,0.07704615179210353,0.08761151000073826,0.08307669651530068,0.08199549184130847,0.05530023759058187,0.04961000486033373,0.0657164184879214,0.061322460695511435,0.0605253046586632,0.05997457597528104,0.04877746302286463,0.060657510507911114,0.05057468030190781,0.05732274537499634,0.03984850342714694,0.044664272645458365,0.042077456251353576,0.03625375710529841,0.03249269932063753,0.0418347869182808,0.04025358258840953,0.027524636995436252,0.03668957722560093,0.038710631299104986
2017 Q1,0.02402332816947809,0.0415662305607364,0.03363862112645321,0.03775073269624714,0.025124113975297457,0.031507273996612586,0.036578917366030396,0.037437523472734165,0.029781632554146464,0.032967177423205304,0.08388390650209726,0.08248862250707971,0.07884931193101023,0.05928020622041859,0.07030761301249334,0.06774783144585024,0.07707539900369144,0.0725376536492175,0.07684507705007636,0.0774744527799198,0.0579951679119203,0.04454926281087,0.06267151199521163,0.05216063519020853,0.06399695040787999,0.05876018845522486,0.04817299027172283,0.05886361439174124,0.05144499084451087,0.05620086498427402,0.037569059508485984,0.042091669806978635,0.04011692331686649,0.037251434423752686,0.031451262760277314,0.03880641549839583,0.03712693804521453,0.027388109072018507,0.03364140631276261,0.037157555339606255
