state,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2
Kansas,0.046,0.044333333333333336,0.043666666666666666,0.043,0.042,0.042,0.042333333333333334,0.043,0.042333333333333334,0.043000000000000003,0.04666666666666667,0.052333333333333336,0.06133333333333333,0.07,0.07233333333333333,0.07200000000000001,0.07166666666666667,0.069,0.068,0.06866666666666667,0.067,0.06433333333333334,0.063,0.061,0.058666666666666666,0.057666666666666665,0.05633333333333333,0.055999999999999994,0.05533333333333333,0.054000000000000006,0.05266666666666667,0.05,0.04733333333333333,0.04566666666666667,0.044333333333333336,0.043,0.043666666666666666,0.043000000000000003,0.04033333333333333,0.039,0.039,0.04,0.040999999999999995,0.040666666666666663,0.038,0.036333333333333336,0.036000000000000004,0.035,0.03366666666666667,0.03233333333333333,0.03233333333333333,0.033,0.03266666666666667,0.031,0.031,0.031,0.03166666666666667,0.09533333333333334,0.063,0.047,0.036333333333333336,NA
Kentucky,0.059,0.057,0.057,0.056,0.054,0.053,0.05366666666666667,0.054000000000000006,0.054,0.058666666666666666,0.06733333333333333,0.081,0.1,0.11066666666666666,0.111,0.109,0.108,0.103,0.1,0.09966666666666667,0.09633333333333334,0.095,0.094,0.08966666666666666,0.08366666666666667,0.08199999999999999,0.08166666666666667,0.08066666666666666,0.08,0.08,0.07966666666666666,0.077,0.07333333333333333,0.06733333333333334,0.06066666666666667,0.05533333333333334,0.053,0.052333333333333336,0.052000000000000005,0.052000000000000005,0.051333333333333335,0.04933333333333333,0.04966666666666667,0.051,0.050333333333333334,0.04933333333333333,0.047,0.044,0.042,0.042,0.042,0.042,0.041666666666666664,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.041666666666666664,0.11166666666666666,0.05533333333333333,0.05566666666666666,0.051666666666666666,NA
Louisiana,0.046,0.03933333333333333,0.03933333333333333,0.040666666666666663,0.041666666666666664,0.042666666666666665,0.04,0.03933333333333333,0.040999999999999995,0.043000000000000003,0.048,0.05466666666666667,0.06233333333333333,0.069,0.07,0.07033333333333333,0.072,0.07366666666666667,0.077,0.078,0.077,0.07433333333333333,0.07333333333333333,0.07266666666666667,0.07066666666666667,0.069,0.066,0.065,0.06766666666666667,0.06666666666666667,0.06366666666666666,0.058666666666666666,0.05633333333333333,0.06,0.06566666666666666,0.068,0.067,0.064,0.06066666666666667,0.06,0.06066666666666667,0.061,0.061,0.06,0.056666666666666664,0.052333333333333336,0.049,0.047,0.04733333333333333,0.049,0.04866666666666667,0.048,0.04566666666666667,0.043666666666666666,0.04666666666666667,0.04933333333333333,0.052,0.11866666666666667,0.08433333333333333,0.079,0.075,NA
Maine,0.04633333333333333,0.04633333333333333,0.04833333333333333,0.04766666666666667,0.046,0.04633333333333333,0.04766666666666667,0.04766666666666667,0.04633333333333333,0.04933333333333333,0.055,0.06533333333333334,0.079,0.08533333333333333,0.085,0.08633333333333333,0.087,0.08466666666666667,0.083,0.082,0.08,0.078,0.077,0.074,0.07200000000000001,0.07266666666666667,0.07200000000000001,0.071,0.07033333333333333,0.068,0.066,0.063,0.06,0.056999999999999995,0.054,0.051333333333333335,0.048,0.045,0.041999999999999996,0.04033333333333333,0.03933333333333333,0.03833333333333333,0.037333333333333336,0.036000000000000004,0.034333333333333334,0.034,0.034,0.032,0.029333333333333333,0.031,0.03266666666666667,0.03166666666666667,0.028333333333333332,0.026000000000000002,0.027000000000000003,0.027333333333333334,0.030666666666666665,0.07566666666666666,0.063,0.049,0.04933333333333333,NA
Maryland,0.04033333333333333,0.041999999999999996,0.043,0.041666666666666664,0.039,0.037000000000000005,0.037000000000000005,0.036333333333333336,0.036333333333333336,0.04,0.04733333333333333,0.05733333333333333,0.06966666666666667,0.076,0.07733333333333334,0.079,0.08066666666666666,0.07866666666666666,0.077,0.07666666666666666,0.07433333333333333,0.07366666666666667,0.07366666666666667,0.07100000000000001,0.069,0.069,0.06866666666666667,0.068,0.06766666666666667,0.06633333333333334,0.06466666666666666,0.062,0.06,0.058333333333333334,0.05633333333333333,0.05466666666666667,0.05333333333333334,0.051000000000000004,0.04866666666666667,0.04666666666666667,0.044,0.043,0.042333333333333334,0.042333333333333334,0.04133333333333333,0.04033333333333333,0.040666666666666663,0.040999999999999995,0.04033333333333333,0.03866666666666667,0.037333333333333336,0.037000000000000005,0.036333333333333336,0.035,0.03466666666666667,0.03333333333333333,0.03466666666666667,0.08866666666666666,0.081,0.068,0.06266666666666666,NA
Massachusetts,0.047,0.047,0.047,0.047,0.04566666666666667,0.045,0.045,0.045,0.04566666666666667,0.04933333333333333,0.055,0.06333333333333334,0.07366666666666667,0.08066666666666666,0.08366666666666667,0.085,0.08433333333333334,0.08133333333333334,0.079,0.07766666666666666,0.075,0.07333333333333333,0.07166666666666667,0.069,0.067,0.067,0.067,0.067,0.06766666666666667,0.06733333333333334,0.06666666666666667,0.064,0.061,0.058666666666666666,0.05633333333333333,0.05366666666666667,0.051000000000000004,0.049,0.04666666666666667,0.045,0.043000000000000003,0.040666666666666663,0.039,0.039,0.03833333333333333,0.038,0.038,0.03766666666666667,0.036333333333333336,0.035,0.03366666666666667,0.033,0.03166666666666667,0.030333333333333334,0.03,0.028999999999999998,0.027666666666666666,0.155,0.09333333333333334,0.08433333333333334,0.07200000000000001,NA
Michigan,0.06866666666666667,0.07033333333333333,0.07133333333333333,0.07100000000000001,0.06933333333333334,0.06933333333333334,0.072,0.07266666666666667,0.07233333333333333,0.07633333333333334,0.084,0.096,0.11733333333333333,0.13566666666666669,0.13833333333333334,0.134,0.13066666666666668,0.12533333333333332,0.12,0.11166666666666666,0.10266666666666667,0.10099999999999999,0.10066666666666667,0.096,0.09133333333333334,0.091,0.09,0.09,0.08966666666666667,0.08833333333333335,0.08733333333333333,0.08366666666666667,0.08,0.07533333333333334,0.07,0.064,0.059,0.056,0.052333333333333336,0.04966666666666667,0.04933333333333333,0.05,0.050333333333333334,0.050666666666666665,0.047,0.043666666666666666,0.046,0.04666666666666667,0.044,0.041,0.04,0.04133333333333333,0.042,0.042,0.040666666666666663,0.038,0.037000000000000005,0.195,0.08566666666666667,0.08166666666666667,0.05333333333333334,NA
Minnesota,0.040666666666666663,0.039,0.04,0.042666666666666665,0.044000000000000004,0.045,0.04666666666666667,0.04766666666666667,0.04733333333333333,0.051,0.05566666666666667,0.06333333333333334,0.07566666666666667,0.08166666666666667,0.08033333333333334,0.07866666666666666,0.077,0.074,0.07266666666666667,0.072,0.068,0.067,0.06566666666666666,0.060333333333333336,0.05733333333333333,0.057,0.056666666666666664,0.055,0.053000000000000005,0.051333333333333335,0.04966666666666667,0.04766666666666667,0.04633333333333333,0.044,0.041,0.03933333333333333,0.038,0.038,0.038,0.03766666666666667,0.038,0.038,0.03933333333333333,0.03966666666666667,0.037000000000000005,0.03466666666666667,0.03366666666666667,0.03233333333333333,0.031,0.029666666666666664,0.029333333333333333,0.031,0.032,0.03133333333333333,0.031,0.031,0.03333333333333333,0.09733333333333334,0.06666666666666667,0.05,0.043666666666666666,NA
Mississippi,0.066,0.06266666666666666,0.063,0.06333333333333334,0.06366666666666666,0.062,0.06033333333333333,0.06,0.06066666666666667,0.06433333333333334,0.069,0.07433333333333333,0.08466666666666667,0.09166666666666667,0.096,0.10200000000000001,0.10466666666666667,0.10200000000000001,0.098,0.09866666666666667,0.09833333333333334,0.099,0.09866666666666667,0.095,0.09,0.08900000000000001,0.08766666666666667,0.08633333333333333,0.087,0.086,0.08466666666666667,0.082,0.08,0.078,0.075,0.07066666666666667,0.06733333333333334,0.065,0.063,0.064,0.062,0.059666666666666666,0.059000000000000004,0.058,0.055,0.05333333333333334,0.051000000000000004,0.04933333333333333,0.049,0.04866666666666667,0.04833333333333333,0.051666666666666666,0.054000000000000006,0.05433333333333334,0.056666666666666664,0.05566666666666666,0.057999999999999996,0.121,0.07833333333333334,0.06733333333333334,0.06333333333333334,NA
Missouri,0.04866666666666667,0.04833333333333333,0.049,0.049,0.048,0.04933333333333333,0.052,0.054000000000000006,0.05433333333333334,0.057999999999999996,0.064,0.07233333333333333,0.083,0.09,0.093,0.095,0.09666666666666666,0.095,0.094,0.09466666666666666,0.09166666666666667,0.08833333333333335,0.08566666666666667,0.08,0.075,0.07233333333333333,0.07033333333333333,0.07,0.069,0.06833333333333334,0.06766666666666667,0.066,0.06566666666666666,0.063,0.06,0.05733333333333333,0.055999999999999994,0.05333333333333334,0.049,0.046,0.044333333333333336,0.046,0.047,0.04466666666666667,0.04033333333333333,0.038,0.036666666666666674,0.03566666666666667,0.034,0.03233333333333333,0.031,0.03133333333333333,0.032,0.03133333333333333,0.033,0.03466666666666667,0.036333333333333336,0.10066666666666667,0.06066666666666667,0.047,0.042666666666666665,NA
